Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2,2,3,4,4,2,4,4,2,2
4,4,5,3,3,5,3,3,5,4
3,3,3,3,3,2,3,4,3,2
3,3,5,3,3,3,3,2,4,3
4,3,4,3,3,4,2,3,4,4
3,3,3,4,4,2,4,4,3,2
4,3,3,4,3,2,3,3,2,1
3,4,4,3,2,5,3,2,3,5
3,2,4,4,4,3,4,3,2,2
2,2,1,5,4,1,5,5,1,1
3,4,4,3,3,3,4,2,4,4
4,4,5,3,3,3,3,3,4,4
