"session","Effect","DFn","DFd","F","p","p<.05","ges"
1,"time",1,11,19.6,0.001,"*",0.42
2,"time",1,10,26.667,0.000423,"*",0.101
3,"time",1,11,25,0.000403,"*",0.056
4,"time",1,11,4.714,0.053,"",0.019
5,"time",1,11,12.571,0.005,"*",0.038
6,"time",1,11,11.957,0.005,"*",0.06
7,"time",1,10,5.714,0.038,"*",0.011
