"time","variable","n","mean","sd"
"0","ios",83,3.843,2.009
"0","panas_neg",83,14.181,4.704
"0","panas_pos",83,32.386,8.822
"1","ios",82,4.793,1.837
"1","panas_neg",82,12.012,2.929
"1","panas_pos",82,38.732,7.175
