"session","Effect","DFn","DFd","F","p","p<.05","ges"
1,"time",1,11,12.733,0.004,"*",0.095
2,"time",1,10,11.962,0.006,"*",0.155
3,"time",1,11,29.131,0.000218,"*",0.224
4,"time",1,11,10.878,0.007,"*",0.072
5,"time",1,11,9.11,0.012,"*",0.115
6,"time",1,11,21.8,0.000684,"*",0.216
7,"time",1,10,16.395,0.002,"*",0.142
