"session","Effect","DFn","DFd","F","p","p<.05","ges"
1,"time",1,11,15.882,0.002,"*",0.2
2,"time",1,10,5.44,0.042,"*",0.083
3,"time",1,11,3.654,0.082,"",0.098
4,"time",1,11,1.609,0.231,"",0.012
5,"time",1,11,5.5,0.039,"*",0.09
6,"time",1,11,3.357,0.094,"",0.066
7,"time",1,10,1.41,0.262,"",0.061
